status,familia,produto,design,material,indice_refracao,tratamento,nota_disponibilidade
nao_disponivel,Varilux XR Series,Varilux XR Pro,,Airwear,1.586,Crizal Easy Pro,Fit Eyecode CVP mandatorio; 4D Technology; Transitions Gen S; não disponível
nao_disponivel,Varilux XR Series,Varilux XR Pro,,Airwear,1.586,Crizal Rock,Fit Eyecode CVP mandatorio; 4D Technology; Transitions Extractive; não disponível
nao_disponivel,Varilux XR Series,Varilux XR Pro,,Airwear,1.586,Crizal Easy Pro,Fit Eyecode CVP mandatorio; 4D Technology; Transitions Extractive; não disponível
nao_disponivel,Varilux XR Series,Varilux XR Pro,,Stylis,1.67,Crizal Rock,Fit Eyecode CVP mandatorio; 4D Technology; não disponível
nao_disponivel,Varilux XR Series,Varilux XR Pro,,Stylis,1.67,Crizal Easy Pro,Fit Eyecode CVP mandatorio; 4D Technology; não disponível
nao_disponivel,Varilux XR Series,Varilux XR Pro,,Stylis,1.67,Crizal Rock,Fit Eyecode CVP mandatorio; 4D Technology; Transitions Gen S; não disponível
nao_disponivel,Varilux XR Series,Varilux XR Pro,,Stylis,1.67,Crizal Easy Pro,Fit Eyecode CVP mandatorio; 4D Technology; Transitions Gen S; não disponível
nao_disponivel,Varilux XR Series,Varilux XR Pro,,Stylis,1.67,Crizal Rock,Fit Eyecode CVP mandatorio; 4D Technology; Transitions Extractive; não disponível
nao_disponivel,Varilux XR Series,Varilux XR Pro,,Stylis,1.67,Crizal Easy Pro,Fit Eyecode CVP mandatorio; 4D Technology; Transitions Extractive; não disponível
unknown,Varilux XR Series,Varilux XR Track,,Orma,,,
